0.119987,0.129604,0.0819487
0.1,0.137917,0.0791664
0.119987,0.155407,0.0835162
0.2,0.173364,0.0697144
0.280013,0.181413,0.0741739
0.319987,0.188516,0.0376277
0.4,0.19315,0.0510651
0.480013,0.194705,0.060235
0.519987,0.199187,0.0530989
0.6,0.20248,0.0567434
0.680013,0.203638,0.0667401
0.719987,0.20687,0.061391
0.8,0.210528,0.059702
0.880013,0.211738,0.0543569
0.919987,0.213384,0.0584049
1,0.216362,0.0595257
1.08001,0.216606,0.0544156
1.11999,0.218892,0.0669243
1.2,0.224024,0.0701729
1.30404,0.224278,0.059075
1.32103,0.224715,0.0645456
1.4,0.227998,0.0649806
1.48001,0.227439,0.0601135
1.54004,0.228313,0.0649531
1.6,0.229807,0.0700867
1.68001,0.230508,0.0715013
1.71999,0.232185,0.0844724
1.8,0.233059,0.088493
1.88001,0.232134,0.080683
1.91999,0.231463,0.0921414
2,0.230234,0.0904563
2.08001,0.230976,0.0789078
2.11999,0.23185,0.0966009
2.2,0.232856,0.0981018
2.28001,0.232947,0.0802989
2.31999,0.232835,0.0896216
2.4,0.23372,0.0866904
2.48001,0.234797,0.0797738
2.51999,0.235417,0.0838963
2.6,0.23628,0.0829088
2.68001,0.236321,0.0843548
2.71999,0.236961,0.0825679
2.8,0.237927,0.077689
2.88001,0.242713,0.120685
2.964,0.242093,0.0808319
3,0.242459,0.0701611
3.08001,0.241352,0.0670379
3.11999,0.241748,0.0776773
3.2,0.241575,0.0769131
3.28001,0.242795,0.0572097
3.31999,0.243679,0.0779829
3.4,0.24438,0.0766035
3.48001,0.245407,0.0674925
3.51999,0.245528,0.0818625
3.6,0.245081,0.0773481
3.68001,0.244858,0.0545646
3.71999,0.245874,0.0787314
3.8,0.245935,0.0678843
3.88001,0.244746,0.0547605
3.91999,0.242581,0.0654743
4,0.244339,0.0672534
4.08001,0.243608,0.0709762
4.11999,0.242307,0.0812316
4.2,0.242327,0.0573429
4.28001,0.241951,0.0378668
4.31999,0.242886,0.0378276
4.4,0.242866,0.0343321
4.48001,0.243201,0.046249
4.51999,0.246098,0.0768818
4.64401,0.24564,0.056473
4.68001,0.24561,0.0493134
4.71999,0.246423,0.0436626
4.8,0.248994,0.0440506
4.88001,0.248445,0.05739
4.91999,0.249533,0.0435137
5,0.250894,0.0496661
5.08001,0.252134,0.0513708
5.11999,0.256646,0.0545959
5.2,0.259156,0.0629389
5.28001,0.258679,0.0816548
5.31999,0.258018,0.0626254
5.4,0.266067,0.0697418
5.48001,0.271575,0.0724889
5.51999,0.28376,0.0791978
5.6,0.295671,0.0830616
5.68001,0.301484,0.0811414
5.71999,0.310498,0.0775362
5.8,0.314726,0.0895785
5.88001,0.316382,0.0960052
5.91999,0.314848,0.100665
6,0.315783,0.0999475
6.08001,0.31628,0.0918043
6.11999,0.317368,0.0986661
